time,Disk Bytes/sec,Disk Read Bytes/sec,Disk Write Bytes/sec,Bytes Received/sec,Bytes Sent/sec,Packets Received/sec,Packets Sent/sec,Process V2(_Total)\% Processor Time,Process V2(_Total)\IO Data Bytes/sec,Process V2(_Total)\IO Data Operations/sec,Process V2(_Total)\Page Faults/sec,Process V2(_Total)\Pool Nonpaged Bytes,Process V2(_Total)\Pool Paged Bytes,Processor Information(_Total)\% Processor Time,Sessions Timed Out,Context Switches/sec,Exception Dispatches/sec,File Control Bytes/sec,File Control Operations/sec,File Data Operations/sec,File Read Bytes/sec,File Read Operations/sec,File Write Bytes/sec,File Write Operations/sec
56:34.2,2640858.577,783711.7798,1857146.797,84926.67103,6476.923213,99.73891812,78.36629281,808.8782579,14970163.83,810.4214526,50280.57297,7754048,97559248,6.409137221,0,7901.764901,0,47680.29158,740.9176774,809.1065296,5919486.471,302.2699865,9119782.675,506.8365431
56:35.2,3643828.881,96982.13786,3546846.743,3864.522608,3328.488523,22.45680141,7.811061361,792.2705597,2269390.929,770.2561024,3655.303959,7754432,97562656,1.918435624,0,7462.492748,0,30622.28968,571.183862,770.3659267,991672.8228,429.6083749,1280889.086,340.7575519
56:36.2,1525250.752,940215.9428,585034.8096,6966.586387,747.5444789,16.25096693,7.109798033,735.4777342,2458691.486,141.6323938, ,7728272,96844048,4.085420256,0,15294.19125,36.5646756,92523.86454,1330.547918,1467.665451,2140863.788,737.3876246,1733922.309,730.2778265
56:37.2,620831.0796,20288.59737,600542.4822,55016.96991,6222.298833,86.18691267,46.56074592,797.3001464,22048577.73,5017.13818,64927.08881,7764288,98178616,8.449552088,0,18976.97125,176.336442,155758.5736,3816.990512,5098.897006,18957531.65,2451.869067,3464925.889,2647.027938
56:38.2,18512017.23,18014639.16,497378.0712,9457.86565,13068.82947,37.5191411,21.29464765,796.8040749,23245170.44,3170.096832,56264.9102,7792736,98873072,6.93391262,0,12250.50658,40.56123362,71048.07084,1822.21342,3293.57217,21954282.83,1763.399632,1317894.308,1530.172538
56:39.2,1575299.874,639726.0598,935573.8143,78545.63875,30366.38963,133.7286779,110.7752481,796.2676866,3211030.799,3409.180948,24651.61558,7804536,98913136,6.711780925,0,16493.53626,0,26496.24178,685.608968,3365.172402,1638542.561,1627.697564,1520932.181,1737.474837
56:40.2,15598278,1162959.503,14435318.49,56657.43458,14556.50033,82.45030233,60.32948951,801.8983339,17488826.51,2542.140286,88804.49839,7809584,98944512,4.46133131,0,12122.20542,0,27132.18241,362.9824285,2477.531036,6489641.175,1157.320707,11037297.2,1320.210329
56:41.2,3041699.709,117930.9555,2923768.753,20804.8345,6729.538847,49.85582195,36.89330824,796.9482395,1704810.139,1389.071815,36564.8904,7810672,98947360,3.506752271,0,9482.577335,0,15932.92358,251.2733426,1369.040871,714624.3778,676.0449456,983522.7506,692.9959251
56:42.2,843235.3206,131546.7654,7.12E+12,1559.628857,0,16.05795476,0,802.1502355,1031158.343,1446.210858,7321.067412,7803224,98926896,2.858514434,0,9181.135637,0,19427.1144,231.8367219,1453.244906,428616.9213,751.7130074,606647.4513,701.5318988
56:43.2,3162039.88,234113.0532,2927926.827,1244.632216,0,14.78185529,0,785.8824522,1606745.662,1230.323979,7735.587725,7797712,98911728,3.698454403,0,12467.01675,0,14548.30198,224.6842004,1258.428614,904437.6706,674.0526013,830824.0313,584.3760126
56:44.2,2036141.027,66081.65606,1970059.371,2208.234051,1679.8712,20.16652101,6.049956304,798.9751862,3388813.638,1056.824999,11434.56574,7795192,98904080,5.219610268,0,18162.97715,0,29532.8617,576.762501,1025.467594,1782133.612,655.411933,1485204.781,370.0556606
56:45.2,732272.9061,106363.6623,625909.2437,3518.62213,7147.107569,26.96644834,10.98633081,769.3878724,3824754.17, , ,7753368,97536592,5.393504885,0,12919.92503,69.91301423,21715.98098,503.3737024,2486.905792,3140606.457,1324.352241,2175036.819,1162.553551
56:46.2,533765.7589,65006.67663,468759.0823,3699.873411,0,20.83038649,0,806.2117899,1874262.681,418.7380723,2789.271851,7750952,97535792,1.161530411,0,3520.335318,0,34117.19731,524.727355,420.5754226,846377.2883,219.2150198,967999.9635,201.3604028
56:47.2,413586.0032,49322.05752,364263.9457,1041.591303,0,13.04497778,0,788.8295996,3928973.664,606.3699617,5695.654168,7750304,97535376,1.985562671,0,8031.692472,0,15462.31251,192.6642872,601.0724377,3140776.082,311.072547,779462.5088,289.9998906
56:48.2,321047.946,121916.9415,199131.0045,2116.282847,0,14.88243915,0,804.781103,1768330.798,384.3054031,2830.785676,7749792,97535216,1.723846075,0,3430.898305,0,21596.40353,275.8212056,388.9277431,869876.5839,193.4717089,901874.8202,195.4560341
56:49.2,262516.8393,24659.11602,237857.7232,1085.659323,0,12.04058399,0,800.5614337,1954907.842,600.4468525,3387.520993,7749656,97535152,3.057013884,0,7348.769763,0,19599.06059,261.8827018,602.0291996,892294.5681,310.0450378,1067765.009,291.9841618
56:50.2,228837.1109,32401.71481,196435.3961,1462.467536,0,17.79879354,0,781.3572041,1903330.027,455.3418744, ,7708320,96820200,2.524145922,0,3998.795615,38.56405267,21814.39913,991.7883288,849.3979805,1520412.497,504.2991503,995305.5682,345.0988303
56:51.2,1246782.734,181125.6799,1065657.054,8788.752166,3275.305124,37.18511494,15.0750466,798.2212181,2471108.604,568.2401162,3099.217736,7708056,96823144,1.790554782,0,5411.941728,0,54218.91259,938.6729014,569.8367614,913932.74,220.0956803,1691476.508,349.741081
56:52.2,131847.315,0,131847.315,1967.570099,76.44955396,15.08872775,1.005915184,801.2411228,2063214.316,376.2924139,2922.036025,7708696,96823144,3.764833529,0,5307.208509,0,26776.45627,339.9993321,380.2359394,912816.7275,199.1712064,1024044.793,181.0647331
56:53.2,327177.6555,317263.1811,9914.474409,1711.184471,361.8049358,19.36420783,5.095844166,799.0462533,1935445.108,520.5170646,3840.846621,7710768,96833128,1.310631566,0,7270.750456,0,19925.76986,305.7506499,517.7377672,1014657.992,296.5781305,925187.1984,221.1596368
56:54.2,697435.9454,15964.19904,681471.7464,1712.955439,190.977967,15.59003812,2.923132148,792.4330198,1126498.83,176.1242968,1378.661857,7710664,96837320,2.093217635,0,8982.78509,0,26765.17232,563.1901271,176.3623062,317381.9961,105.2327573,804436.2233,71.12954893
56:55.2,165755.1516,0,165755.1516,593.8615356,71.8299302,8.093513262,1.011689158,796.6975376,742586.9169,230.2601382,1079.281,7709064,96830056,2.78865299,0,4985.604169,0,16795.05171,266.0742485,228.6417496,326801.9019,175.0222243,413798.0642,53.61952536
